Area_profesional;Puesto;Sector;Tipo_rango;Zona;Valor;Dolar_Promedio_Mes
dirección.;Director comercial;Manufactura;Max;NEA;$14.632.140;1284
dirección.;Director comercial;Retail & Comercio;Min;NEA;$8.910.936;1284
dirección.;Director comercial;Retail & Comercio;Max;NEA;$12.655.743;1284
dirección.;Director comercial;Servicios;Min;NEA;$8.911.782;1284
dirección.;Director comercial;Servicios;Max;NEA;$12.655.738;1284
dirección.;Director comercial;Transporte y logística;Min;NEA;$8.910.891;1284
dirección.;Director comercial;Transporte y logística;Max;NEA;$12.655.746;1284
dirección.;Director comercial;Automotriz;Min;NOA;$9.872.002;1284
dirección.;Director comercial;Automotriz;Max;NOA;$15.075.538;1284
dirección.;Director comercial;Banca & Serv Financieros;Min;NOA;$10.328.583;1284
dirección.;Director comercial;Banca & Serv Financieros;Max;NOA;$15.480.712;1284
dirección.;Director comercial;Consumo masivo;Min;NOA;$9.180.961;1284
dirección.;Director comercial;Consumo masivo;Max;NOA;$13.039.247;1284
dirección.;Director comercial;Gas, Petróleo y Minería;Min;NOA;$10.328.602;1284
dirección.;Director comercial;Gas, Petróleo y Minería;Max;NOA;$15.480.712;1284
dirección.;Director comercial;IT;Min;NOA;$10.328.574;1284
dirección.;Director comercial;IT;Max;NOA;$15.480.712;1284
dirección.;Director comercial;Lab & Pharma;Min;NOA;$10.328.582;1284
dirección.;Director comercial;Lab & Pharma;Max;NOA;$15.480.712;1284
dirección.;Director comercial;Manufactura;Min;NOA;$9.872.002;1284
dirección.;Director comercial;Manufactura;Max;NOA;$15.075.538;1284
dirección.;Director comercial;Retail & Comercio;Min;NOA;$9.180.964;1284
dirección.;Director comercial;Retail & Comercio;Max;NOA;$13.039.250;1284
dirección.;Director comercial;Servicios;Min;NOA;$9.181.836;1284
dirección.;Director comercial;Servicios;Max;NOA;$13.039.245;1284
dirección.;Director comercial;Transporte y logística;Min;NOA;$9.180.918;1284
dirección.;Director comercial;Transporte y logística;Max;NOA;$13.039.253;1284
dirección.;Director comercial;Automotriz;Min;Patagonia;$14.517.650;1284
dirección.;Director comercial;Automotriz;Max;Patagonia;$22.169.909;1284
dirección.;Director comercial;Banca & Serv Financieros;Min;Patagonia;$15.189.093;1284
dirección.;Director comercial;Banca & Serv Financieros;Max;Patagonia;$22.765.753;1284
dirección.;Director comercial;Consumo masivo;Min;Patagonia;$13.501.414;1284
dirección.;Director comercial;Consumo masivo;Max;Patagonia;$19.175.364;1284
dirección.;Director comercial;Gas, Petróleo y Minería;Min;Patagonia;$15.189.120;1284
dirección.;Director comercial;Gas, Petróleo y Minería;Max;Patagonia;$22.765.753;1284
dirección.;Director comercial;IT;Min;Patagonia;$15.189.080;1284
dirección.;Director comercial;IT;Max;Patagonia;$22.765.753;1284
dirección.;Director comercial;Lab & Pharma;Min;Patagonia;$15.189.091;1284
