Area_profesional;Puesto;Sector;Tipo_rango;Buenos Aires;Cuyo;Litoral-Centro;NEA;NOA;Patagonia;Dolar_Promedio_Mes
dirección.;Director de Expansión y  Desarrollo;Automotriz;Min;$10.941.962;$9.628.927;$8.753.570;$9.027.119;$9.300.668;$13.677.453;1284
dirección.;Director de Expansión y  Desarrollo;Automotriz;Max;$16.867.587;$14.843.477;$13.494.070;$13.915.759;$14.337.449;$21.084.484;1284
dirección.;Director de Expansión y  Desarrollo;Banca & Serv Financieros;Min;$11.448.029;$10.074.266;$9.158.423;$9.444.624;$9.730.825;$14.310.036;1284
dirección.;Director de Expansión y  Desarrollo;Banca & Serv Financieros;Max;$17.321.087;$15.242.557;$13.856.870;$14.289.897;$14.722.924;$21.651.359;1284
dirección.;Director de Expansión y  Desarrollo;Consumo masivo;Min;$10.176.025;$8.954.902;$8.140.820;$8.395.221;$8.649.621;$12.720.031;1284
dirección.;Director de Expansión y  Desarrollo;Consumo masivo;Max;$13.441.671;$11.828.670;$10.753.337;$11.089.379;$11.425.420;$16.802.089;1284
dirección.;Director de Expansión y  Desarrollo;Gas, Petróleo y Minería;Min;$11.448.029;$10.074.266;$9.158.423;$9.444.624;$9.730.825;$14.310.036;1284
dirección.;Director de Expansión y  Desarrollo;Gas, Petróleo y Minería;Max;$17.321.094;$15.242.563;$13.856.875;$14.289.903;$14.722.930;$21.651.368;1284
dirección.;Director de Expansión y  Desarrollo;IT;Min;$11.448.029;$10.074.266;$9.158.423;$9.444.624;$9.730.825;$14.310.036;1284
dirección.;Director de Expansión y  Desarrollo;IT;Max;$17.321.126;$15.242.591;$13.856.901;$14.289.929;$14.722.957;$21.651.408;1284
dirección.;Director de Expansión y  Desarrollo;Lab & Pharma;Min;$11.448.029;$10.074.266;$9.158.423;$9.444.624;$9.730.825;$14.310.036;1284
dirección.;Director de Expansión y  Desarrollo;Lab & Pharma;Max;$17.321.052;$15.242.526;$13.856.842;$14.289.868;$14.722.894;$21.651.315;1284
dirección.;Director de Expansión y  Desarrollo;Manufactura;Min;$10.941.962;$9.628.927;$8.753.570;$9.027.119;$9.300.668;$13.677.453;1284
dirección.;Director de Expansión y  Desarrollo;Manufactura;Max;$16.867.587;$14.843.477;$13.494.070;$13.915.759;$14.337.449;$21.084.484;1284
dirección.;Director de Expansión y  Desarrollo;Retail & Comercio;Min;$10.175.967;$8.954.851;$8.140.774;$8.395.173;$8.649.572;$12.719.959;1284
dirección.;Director de Expansión y  Desarrollo;Retail & Comercio;Max;$13.441.683;$11.828.681;$10.753.346;$11.089.388;$11.425.431;$16.802.104;1284
dirección.;Director de Expansión y  Desarrollo;Servicios;Min;$10.175.967;$8.954.851;$8.140.774;$8.395.173;$8.649.572;$12.719.959;1284
dirección.;Director de Expansión y  Desarrollo;Servicios;Max;$13.441.683;$11.828.681;$10.753.346;$11.089.388;$11.425.431;$16.802.104;1284
dirección.;Director de Expansión y  Desarrollo;Transporte y logística;Min;$9.667.169;$8.507.109;$7.733.735;$7.975.414;$8.217.094;$12.083.961;1284
dirección.;Director de Expansión y  Desarrollo;Transporte y logística;Max;$12.769.599;$11.237.247;$10.215.679;$10.534.919;$10.854.159;$15.961.999;1284
dirección.;Director de Recursos  Humanos;Automotriz;Min;$10.623.264;$9.348.472;$9.773.403;$8.764.193;$9.029.774;$13.279.080;1284
dirección.;Director de Recursos  Humanos;Automotriz;Max;$17.219.347;$15.153.025;$15.841.799;$14.205.961;$14.636.445;$21.524.184;1284
dirección.;Director de Recursos  Humanos;Banca & Serv Financieros;Min;$11.114.591;$9.780.840;$10.225.424;$9.169.538;$9.447.402;$13.893.239;1284
dirección.;Director de Recursos  Humanos;Banca & Serv Financieros;Max;$17.682.138;$15.560.281;$16.267.567;$14.587.764;$15.029.817;$22.102.673;1284
dirección.;Director de Recursos  Humanos;Consumo masivo;Min;$9.879.636;$8.694.080;$9.089.265;$8.150.700;$8.397.691;$12.349.545;1284
dirección.;Director de Recursos  Humanos;Consumo masivo;Max;$13.050.166;$11.484.146;$12.006.153;$10.766.387;$11.092.641;$16.312.708;1284
dirección.;Director de Recursos  Humanos;Gas, Petróleo y Minería;Min;$11.114.591;$9.780.840;$10.225.424;$9.169.538;$9.447.402;$13.893.239;1284
dirección.;Director de Recursos  Humanos;Gas, Petróleo y Minería;Max;$17.682.138;$15.560.281;$16.267.567;$14.587.764;$15.029.817;$22.102.673;1284
dirección.;Director de Recursos  Humanos;IT;Min;$11.114.591;$9.780.840;$10.225.424;$9.169.538;$9.447.402;$13.893.239;1284
dirección.;Director de Recursos  Humanos;IT;Max;$17.682.138;$15.560.281;$16.267.567;$14.587.764;$15.029.817;$22.102.673;1284
dirección.;Director de Recursos  Humanos;Lab & Pharma;Min;$11.114.591;$9.780.840;$10.225.424;$9.169.538;$9.447.402;$13.893.239;1284
dirección.;Director de Recursos  Humanos;Lab & Pharma;Max;$17.682.138;$15.560.281;$16.267.567;$14.587.764;$15.029.817;$22.102.673;1284
dirección.;Director de Recursos  Humanos;Manufactura;Min;$10.623.264;$9.348.472;$9.773.403;$8.764.193;$9.029.774;$13.279.080;1284
dirección.;Director de Recursos  Humanos;Manufactura;Max;$17.219.347;$15.153.025;$15.841.799;$14.205.961;$14.636.445;$21.524.184;1284
dirección.;Director de Recursos  Humanos;Retail & Comercio;Min;$9.879.580;$8.694.030;$9.089.214;$8.150.654;$8.397.643;$12.349.475;1284
dirección.;Director de Recursos  Humanos;Retail & Comercio;Max;$13.050.178;$11.484.157;$12.006.164;$10.766.397;$11.092.651;$16.312.723;1284
dirección.;Director de Recursos  Humanos;Servicios;Min;$9.879.580;$8.694.030;$9.089.214;$8.150.654;$8.397.643;$12.349.475;1284
dirección.;Director de Recursos  Humanos;Servicios;Max;$13.050.178;$11.484.157;$12.006.164;$10.766.397;$11.092.651;$16.312.723;1284
dirección.;Director de Recursos  Humanos;Transporte y logística;Min;$9.385.601;$8.259.329;$8.634.753;$7.743.121;$7.977.761;$11.732.001;1284
