id_direccion;director;cast
266;"Jorge R. Gutiérrez";"Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman, Christina Applegate, Ice Cube"
267;;"Jim Henson, Frank Oz, Dave Goelz, Richard Hunt, Eren Ozker, John Lovelady"
268;;"Giles Panton, Rebecca Shoichet, Jesse Inocalla, Brad Swaile, Deven Mack, Ian Hanlin"
269;"Robert Iscove";"Brandy Norwood, Whitney Houston, Bernadette Peters, Paolo Montalbán, Whoopi Goldberg, Victor Garber"
270;"Andy Fickman";"Kristen Bell, Sigourney Weaver, Jamie Lee Curtis, Odette Yustman, Kristin Chenoweth, Victor Garber"
271;"Kentaro Takayanagi";YOSHIKI
272;"Katie Bauer Murdock";"Tate Donovan"
273;"Joe Nussbaum";"Izabela Rose, Siena Agudong, Kyle Howard, Elie Samouhi, Alison Fernandez, Max Torina"
274;;"Bill Ratner"
275;"Natalie Hewit";"Sam Douglas"
276;;"Ellen DeGeneres, Craig T. Nelson, Holly Hunter, Keegan-Michael Key, Jordan Peele"
277;"Harald Pokieser";"Russell Boulter"
278;;"Aimee Carrero, Jenna Ortega, Keith Ferguson, Jillian Reed, Carlos Alazraqui, Mikey Kelley"
279;"Wes Anderson";"Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban, Jeff Goldblum, Bill Murray"
280;"Rob Marshall";"Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Julie Walters, Pixie Davies"
281;;"Elizabeth Olsen, Paul Bettany, Teyonah Parris, Kathryn Hahn, Randall Park, Kat Dennings"
282;;"Phil Wright, Ariel Martin, Trevor Tordjman"
283;"Carlos Saldanha";"Jack Gore, Jet Jurgensmeyer, Nile Diaz, Colin H. Murphy, Carlos Saldanha, Jeremy Sisto"
284;"Steve Purcell";"Tom Hanks, Tim Allen, Kristen Schaal, Kevin McKidd, Emily Hahn, Wallace Shawn"
285;"Luc Marescot";"Paul Bandey"
286;;"Lance Lewman"
287;"Jimmy Hayward, Steve Martino";"Jim Carrey, Steve Carell, Will Arnett, Seth Rogen, Isla Fisher, Amy Poehler"
288;"Brandon Hill, Marc Ostrick";"Neil Hammerschlag"
289;"Madeline Sharafian";
290;;"Neil deGrasse Tyson"
291;;"Jon Favreau, Dave Filoni, Pedro Pascal, Bryce Howard, Taika Waititi, Carl Weathers"
292;"Tim Hill";"Alex D. Linz, Larry Miller, Jamie Kennedy, Zena Grey, Josh Peck, Nora Dunn"
293;"Pete Docter";"Jamie Foxx, Tina Fey, Angela Bassett, Ahmir-Khalib "Questlove" Thompson, Phylicia Rashad, Daveed Diggs"
294;;"Josh Bernstein"
295;"Michal Makarewicz";
296;"Rob Marshall";"Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Tracey Ullman"
297;"Thomas Astruc";"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Carrie Keranen, Selah Victor, Sabrina Weisz"
298;;"Dan Nachtrab"
299;;"Katie Couric"
300;;"Olivia Rodrigo, Joshua Bassett, Sofia Wylie, Matt Cornett, Larry Saperstein, Julia Lester"
301;"Rich Moore, Phil Johnston";"John C. Reilly, Sarah Silverman, Gal Gadot, Jane Lynch, Jack McBrayer, Alan Tudyk"
